date,dados.gov.br,data.edincubator.eu,data.gov.ie,data.gov.ro,data.gov.sk,data.gov.ua,data.gv.at,datahub.io,odn.opendata.sk,opendata.hu,podatki.gov.si,www.data.gov.sg
20130903,-1,-1,-1,-1,494,-1,7361,-1,-1,-1,-1,-1
20130904,-1,-1,-1,-1,494,-1,7361,-1,-1,-1,-1,-1
20130905,-1,-1,-1,-1,494,-1,7361,-1,-1,-1,-1,-1
20130906,-1,-1,-1,-1,494,-1,7361,-1,-1,-1,-1,-1
20130907,-1,-1,-1,-1,494,-1,7361,-1,-1,-1,-1,-1
20130910,-1,-1,-1,-1,494,-1,7363,-1,-1,-1,-1,-1
20130911,-1,-1,-1,-1,494,-1,7363,-1,-1,-1,-1,-1
20130912,-1,-1,-1,-1,494,-1,7363,-1,-1,-1,-1,-1
20130913,-1,-1,-1,-1,494,-1,7363,-1,-1,-1,-1,-1
20130914,-1,-1,-1,-1,494,-1,7363,-1,-1,-1,-1,-1
20130915,-1,-1,-1,-1,494,-1,7363,-1,-1,-1,-1,-1
20130916,-1,-1,-1,-1,495,-1,7363,-1,-1,-1,-1,-1
20130917,-1,-1,-1,-1,495,-1,8099,-1,-1,-1,-1,-1
20130918,-1,-1,-1,-1,495,-1,8099,-1,-1,-1,-1,-1
20130919,-1,-1,-1,-1,504,-1,8109,-1,-1,-1,-1,-1
20130920,-1,-1,-1,-1,504,-1,8131,-1,-1,-1,-1,-1
20130921,-1,-1,-1,-1,504,-1,8133,-1,-1,-1,-1,-1
20130922,-1,-1,-1,-1,504,-1,8133,-1,-1,-1,-1,-1
20130923,-1,-1,-1,-1,504,-1,8133,-1,-1,-1,-1,-1
20130924,-1,-1,-1,-1,504,-1,8501,-1,-1,-1,-1,-1
20130925,-1,-1,-1,-1,504,-1,8518,-1,-1,-1,-1,-1
20130926,-1,-1,-1,-1,504,-1,8609,-1,-1,-1,-1,-1
20130927,-1,-1,-1,-1,504,-1,8624,-1,-1,-1,-1,-1
20130928,-1,-1,-1,-1,504,-1,8625,-1,-1,-1,-1,-1
20130929,-1,-1,-1,-1,504,-1,8625,-1,-1,-1,-1,-1
20130930,-1,-1,-1,-1,504,-1,8626,-1,-1,-1,-1,-1
20131001,-1,-1,-1,-1,504,-1,9055,-1,-1,-1,-1,-1
20131002,-1,-1,-1,-1,504,-1,9070,-1,-1,-1,-1,-1
20131003,-1,-1,-1,-1,504,-1,9077,-1,-1,-1,-1,-1
20131004,-1,-1,-1,-1,513,-1,9096,-1,-1,-1,-1,-1
20131005,-1,-1,-1,-1,513,-1,9106,-1,-1,-1,-1,-1
20131006,-1,-1,-1,-1,513,-1,9106,-1,-1,-1,-1,-1
20131007,-1,-1,-1,-1,513,-1,9106,-1,-1,-1,-1,-1
20131008,-1,-1,-1,-1,513,-1,9476,-1,-1,-1,-1,-1
20131009,-1,-1,-1,-1,513,-1,9480,-1,-1,-1,-1,-1
20131010,-1,-1,-1,-1,513,-1,9480,-1,-1,-1,-1,-1
20131011,-1,-1,-1,-1,513,-1,9629,-1,-1,-1,-1,-1
20131012,-1,-1,-1,-1,513,-1,9630,-1,-1,-1,-1,-1
20131013,-1,-1,-1,-1,513,-1,9630,-1,-1,-1,-1,-1
20131014,-1,-1,-1,-1,513,-1,9630,-1,-1,-1,-1,-1
20131015,-1,-1,-1,-1,513,-1,9728,-1,-1,-1,-1,-1
20131016,-1,-1,-1,-1,513,-1,9728,-1,-1,-1,-1,-1
20131017,-1,-1,-1,-1,513,-1,9729,-1,-1,-1,-1,-1
20131018,-1,-1,-1,-1,513,-1,9732,-1,-1,-1,-1,-1
20131019,-1,-1,-1,-1,513,-1,9736,-1,-1,-1,-1,-1
20131020,-1,-1,-1,-1,513,-1,9736,-1,-1,-1,-1,-1
20131021,-1,-1,-1,-1,513,-1,9736,-1,-1,-1,-1,-1
20131022,-1,-1,-1,-1,513,-1,10120,-1,-1,-1,-1,-1
20131023,-1,-1,-1,-1,513,-1,10120,-1,-1,-1,-1,-1
20131024,-1,-1,-1,-1,513,-1,10120,-1,-1,-1,-1,-1
20131025,-1,-1,-1,-1,513,-1,10120,-1,-1,-1,-1,-1
20131028,-1,-1,-1,-1,513,-1,10522,-1,-1,-1,-1,-1
20131029,-1,-1,-1,-1,513,-1,10522,-1,-1,-1,-1,-1
20131030,-1,-1,-1,-1,513,-1,10523,-1,-1,-1,-1,-1
20131031,-1,-1,-1,-1,513,-1,10524,-1,-1,-1,-1,-1
20131101,-1,-1,-1,-1,513,-1,10568,-1,-1,-1,-1,-1
20131102,-1,-1,-1,-1,513,-1,10568,-1,-1,-1,-1,-1
20131103,-1,-1,-1,-1,513,-1,10568,-1,-1,-1,-1,-1
20131104,-1,-1,-1,-1,513,-1,10587,-1,-1,-1,-1,-1
20131105,-1,-1,-1,-1,513,-1,10719,-1,-1,-1,-1,-1
20131106,-1,-1,-1,-1,513,-1,10719,-1,-1,-1,-1,-1
20131107,-1,-1,-1,-1,513,-1,10723,-1,-1,-1,-1,-1
20131108,-1,-1,-1,-1,513,-1,10723,-1,-1,-1,-1,-1
20131109,-1,-1,-1,-1,513,-1,10723,-1,-1,-1,-1,-1
20131110,-1,-1,-1,-1,513,-1,10723,-1,-1,-1,-1,-1
20131111,-1,-1,-1,-1,513,-1,11108,-1,-1,-1,-1,-1
20131112,-1,-1,-1,-1,513,-1,11108,-1,-1,-1,-1,-1
20131113,-1,-1,-1,-1,513,-1,11108,-1,-1,-1,-1,-1
20131114,-1,-1,-1,-1,513,-1,11108,-1,-1,-1,-1,-1
20131115,-1,-1,-1,-1,513,-1,11108,-1,-1,-1,-1,-1
20131116,-1,-1,-1,-1,513,-1,11112,-1,-1,-1,-1,-1
20131117,-1,-1,-1,-1,513,-1,11112,-1,-1,-1,-1,-1
20131118,-1,-1,-1,-1,513,-1,11161,-1,-1,-1,-1,-1
20131119,-1,-1,-1,-1,513,-1,11161,-1,-1,-1,-1,-1
20131120,-1,-1,-1,-1,513,-1,11164,-1,-1,-1,-1,-1
20131121,-1,-1,-1,-1,513,-1,11164,-1,-1,-1,-1,-1
20131122,-1,-1,-1,-1,512,-1,11164,-1,-1,-1,-1,-1
20131123,-1,-1,-1,-1,512,-1,11164,-1,-1,-1,-1,-1
20131124,-1,-1,-1,-1,512,-1,11164,-1,-1,-1,-1,-1
20131126,-1,-1,-1,-1,512,-1,11164,-1,-1,-1,-1,-1
20131127,-1,-1,-1,-1,512,-1,11164,-1,-1,-1,-1,-1
20131128,-1,-1,-1,-1,512,-1,11164,-1,-1,-1,-1,-1
20131129,-1,-1,-1,-1,512,-1,11164,-1,-1,-1,-1,-1
20131130,-1,-1,-1,-1,512,-1,11164,-1,-1,-1,-1,-1
20131201,-1,-1,-1,-1,512,-1,11164,-1,-1,-1,-1,-1
20131202,-1,-1,-1,-1,512,-1,11164,-1,-1,-1,-1,-1
20131203,-1,-1,-1,-1,512,-1,11168,-1,-1,-1,-1,-1
20131204,-1,-1,-1,-1,512,-1,11168,-1,-1,-1,-1,-1
20131205,-1,-1,-1,-1,512,-1,11168,-1,-1,-1,-1,-1
20131206,-1,-1,-1,-1,512,-1,11172,-1,-1,-1,-1,-1
20131208,-1,-1,-1,-1,512,-1,11172,-1,-1,-1,-1,-1
20131209,-1,-1,-1,-1,512,-1,11172,-1,-1,-1,-1,-1
20131210,-1,-1,-1,-1,512,-1,11192,-1,-1,-1,-1,-1
20131211,-1,-1,-1,-1,512,-1,11193,-1,-1,-1,-1,-1
20131212,-1,-1,-1,-1,512,-1,11966,-1,-1,-1,-1,-1
20131213,-1,-1,-1,-1,512,-1,12309,-1,-1,-1,-1,-1
20131214,-1,-1,-1,-1,512,-1,12493,-1,-1,-1,-1,-1
20131215,-1,-1,-1,-1,512,-1,12493,-1,-1,-1,-1,-1
20131216,-1,-1,-1,-1,512,-1,12588,-1,-1,-1,-1,-1
