source,dataset_count,resource_count,license_count(total),open_license_count,non_open_license_count
catalogodatos.gub.uy,131,513,8,5,126
dados.gov.br,1130,8547,15,325,805
data.comsode.eu,182,449,15,151,31
data.gov.ie,4416,10497,5,4226,190
data.gov.ro,516,4754,4,489,27
data.gov.sk,1002,3847,15,0,1002
data.gov.uk,-1,-1,-1,-1,-1
data.gv.at,2654,9473,5,1724,930
datahub.io,-1,-1,-1,-1,-1
hubofdata.ru,28379,62691,15,537,27842
odn.opendata.sk,6,15,15,6,0
opendata.government.bg,-1,-1,-1,-1,-1
opendata.hu,50,106,15,6,44
opendata.praha.eu,172,899,15,171,1
www.data.gov.sg,654,1059,15,0,654
www.europeandataportal.eu,585456,582717,35,31954,553502
www.govdata.de,19364,63860,39,17619,1745
www.opendataphilly.org,340,-1,-1,-1,-1
www.publicdata.eu,-1,-1,-1,-1,-1
